original_caption,adjective,adjective_free_caption,angle_with_adjective (radians),angle_without_adjective (radians),hallucinated
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",Black,", shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",1.2663167,1.2727201,False
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",shiny,"Black, , lush, red, bright landscapes stretch endlessly under a golden sun.",1.2663167,1.2643973,True
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",lush,"Black, shiny, , red, bright landscapes stretch endlessly under a golden sun.",1.2663167,1.2685583,False
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",red,"Black, shiny, lush, , bright landscapes stretch endlessly under a golden sun.",1.2663167,1.297953,False
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",bright,"Black, shiny, lush, red,  landscapes stretch endlessly under a golden sun.",1.2663167,1.2709823,False
"Black, shiny, lush, red, bright landscapes stretch endlessly under a golden sun.",golden,"Black, shiny, lush, red, bright landscapes stretch endlessly under a  sun.",1.2663167,1.2659613,True
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",natural,"A cluster of , snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",1.2083726,1.2049177,True
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",historic,"A cluster of natural, snowy, , sleek, vibrant houses sits atop a steep cliff by the ocean.",1.2083726,1.2195506,False
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",sleek,"A cluster of natural, snowy, historic, , vibrant houses sits atop a steep cliff by the ocean.",1.2083726,1.2152208,False
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",vibrant,"A cluster of natural, snowy, historic, sleek,  houses sits atop a steep cliff by the ocean.",1.2083726,1.2176247,False
"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a steep cliff by the ocean.",steep,"A cluster of natural, snowy, historic, sleek, vibrant houses sits atop a  cliff by the ocean.",1.2083726,1.2084688,False
